ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
1258563706,CojYgu4umzHmBNyMrj,192.168.1.103,1415,207.46.216.54,80,tcp,http,0.209873,586,287,S1,T,T,0,ShADd,4,754,2,371,-
1258563716,C0neHW2qmncy5dF13,192.168.1.103,1437,96.6.245.186,443,tcp,ssl,34.549065,1024,2801,RSTO,T,T,0,ShADadfR,9,1392,9,3169,-
1258563703,CWACoK1h9SsAuFBJbb,192.168.1.103,1413,65.55.15.243,80,tcp,http,1.026357,600,652,S1,T,T,0,ShADd,4,768,2,736,-
1258563703,CVhCvBn9wxTjmO3vk,192.168.1.103,1412,65.55.15.124,80,tcp,http,1.043097,598,955,S1,T,T,0,ShADd,4,766,2,1039,-
1258563703,C6VL5N1Z9Fv49bOYO4,192.168.1.103,1411,65.55.15.124,80,tcp,http,0.221115,600,818,S1,T,T,0,ShADd,4,768,2,902,-
1258563703,CiqP8J21BbWt36piBe,192.168.1.103,1410,65.55.15.243,80,tcp,http,0.239605,600,984,S1,T,T,0,ShADd,4,768,2,1068,-
1258563703,CFinNO11axkM5cpE3e,192.168.1.103,1409,65.55.15.124,80,tcp,http,0.257091,598,896,S1,T,T,0,ShADd,4,766,2,980,-
1258563703,C7Mj371nmJarJs8XRg,192.168.1.103,1407,65.55.15.243,80,tcp,http,1.452344,1200,1769,S1,T,T,0,ShADd,6,1448,3,1893,-
1258563703,Cln3Eo30iQlv1hqRB2,192.168.1.103,1406,65.55.239.188,80,tcp,http,0.378257,704,414,S1,T,T,0,ShADd,4,872,2,498,-
1258563703,CtdKwc46etKxp2nXNh,192.168.1.103,1405,65.55.15.124,80,tcp,http,1.570517,1196,1902,S1,T,T,0,ShADd,6,1444,3,2026,-
1258563703,CYGQ503bNJiANsnXF1,192.168.1.103,1404,65.55.18.18,80,tcp,http,3.229971,1644,532,S1,T,T,0,ShADd,6,1892,3,660,-
1258563702,CEjxOU1kjclvkF85Y8,192.168.1.103,1402,65.55.17.27,80,tcp,http,0.164648,699,16434,S1,T,T,0,ShADd,6,947,13,16958,-
